ikaṃ	4622	4.5929518758611166E-4
iñhi	54	5.366062338738647E-6
ikaṅ	550	5.4654338635301036E-5
abhed	301	2.9910828962228386E-5
muho	5	4.968576239572822E-7
abheh	10	9.937152479145644E-7
muha	4	3.9748609916582574E-7
ikaṇ	105	1.0434010103102925E-5
abhej	17	1.6893159214547594E-6
iñcā	195	1.9377447334334005E-5
ṅgadh	9	8.943437231231079E-7
abhen	5	4.968576239572822E-7
āgū*	2	1.9874304958291287E-7
abhañ	23	2.285545070203498E-6
abhes	370	3.676746417283888E-5
abher	65	6.459149111444668E-6
ḍūva	2	1.9874304958291287E-7
abhey	211	2.0967391730997308E-5
kku*	2	1.9874304958291287E-7
muhu	163	1.6197558541007398E-5
mugi	2	1.9874304958291287E-7
esuh	1	9.937152479145643E-8
mugg	156	1.5501957867467204E-5
esuk	4	3.9748609916582574E-7
naṭo	8	7.949721983316515E-7
esun	3	2.981145743743693E-7
vibhā	274	2.7227797792859063E-5
esum	348	3.458129062742684E-5
muga	1	9.937152479145643E-8
ṃvut	344	3.4183804528261016E-5
esup	118	1.1725839925391859E-5
esut	2	1.9874304958291287E-7
esus	5	4.968576239572822E-7
mmiṃ	273	2.7128426268067605E-5
esuy	7	6.95600673540195E-7
isa*	696	6.916258125485368E-5
naṭa	16	1.589944396663303E-6
kkhū*	6207	6.1679905438057E-4
naṭe	1	9.937152479145643E-8
esve	31	3.0805172685351494E-6
ikaḷ	4	3.9748609916582574E-7
āguṃ	48	4.769833189989908E-6
ṇitth	3	2.981145743743693E-7
isay	415	4.123918278845442E-5
mudī	1	9.937152479145643E-8
kkuc	832	8.267710862649175E-5
mujj	157	1.560132939225866E-5
vaho	3	2.981145743743693E-7
abhe*	6	5.962291487487386E-7
iñji	198	1.9675561908708372E-5
āguṇ	6	5.962291487487386E-7
§yath	6556	6.514797165327883E-4
iñje	71	7.055378260193407E-6
kkup	3	2.981145743743693E-7
vaha	186	1.8483103611210898E-5
muka	139	1.3812641946012445E-5
kkus	85	8.446579607273797E-6
kkur	62	6.161034537070299E-6
ekuṭ	1	9.937152479145643E-8
kkuh	8	7.949721983316515E-7
vahi	37	3.676746417283888E-6
esuc	4	3.9748609916582574E-7
īmukh	3	2.981145743743693E-7
kkul	6	5.962291487487386E-7
vahe	45	4.47171861561554E-6
kkuk	12	1.192458297497477E-6
vacā	58	5.763548437904473E-6
āguḷ	16	1.589944396663303E-6
āgūp	13	1.2918298222889336E-6
kkuj	186	1.8483103611210898E-5
muju	5	4.968576239572822E-7
ṭhīyi	1	9.937152479145643E-8
essi	5	4.968576239572822E-7
kkhuṃ	1454	1.4448619704677764E-4
vago	8	7.949721983316515E-7
kkhūs	100	9.937152479145643E-6
esse	2	1.9874304958291287E-7
kkhūt	261	2.5935967970570128E-5
inabh	3	2.981145743743693E-7
esu*	7228	7.182573811926471E-4
isab	9	8.943437231231079E-7
mudā	473	4.700273122635889E-5
ikaṭ	79	7.850350458525059E-6
ekūn	25	2.4842881197864107E-6
isac	18	1.7886874462462159E-6
vagu	4	3.9748609916582574E-7
ekūp	19	1.8880589710376723E-6
isad	351	3.4879405201801206E-5
esso	59	5.8629199626959295E-6
iñja	146	1.450824261955264E-5
