jeh	107	9.20669045893459E-6
jeg	74	6.367243868795884E-6
ūci	119	1.0239216491712301E-5
megh	166	1.4283276786758335E-5
jep	1	8.604383606480924E-8
aṭy	3	2.5813150819442774E-7
jek	1	8.604383606480924E-8
aṭu	254	2.185513436046155E-5
jem	25	2.1510959016202313E-6
ūca	2	1.720876721296185E-7
jen	651	5.601453727819082E-5
cagh	8	6.88350688518474E-7
jey	1477	1.2708674586772327E-4
jes	310	2.6673589180090868E-5
aṭo	304	2.615732616370201E-5
jet	1474	1.2682861435952883E-4
jañ	584	5.02496002618486E-5
jev	41	3.5277972786571794E-6
ghi*	6	5.162630163888555E-7
tiṃ	6475	5.571338385196399E-4
eāk	1	8.604383606480924E-8
ūdo	11	9.464821967129017E-7
bheṇ	2	1.720876721296185E-7
ūda	8	6.88350688518474E-7
tiṇ	1462	1.2579608832675112E-4
naṭh	2	1.720876721296185E-7
ji*	438	3.768720019638645E-5
īṭa	10	8.604383606480925E-7
biḷ	28	2.409227409814659E-6
biṃ	43	3.6998849507867977E-6
ghim	1	8.604383606480924E-8
aṭe	158	1.359492609823986E-5
ghin	9	7.743945245832833E-7
aṭi	24795	0.002133456915226945
ghij	1	8.604383606480924E-8
ghik	154	1.3250750753980625E-5
ghit	1	8.604383606480924E-8
aṭa	3264	2.808470809155374E-4
ūṭā	245	2.1080739835878265E-5
medh	267	2.297370422930407E-5
ghiy	79	6.79746304911993E-6
vagh	1	8.604383606480924E-8
ūṭa	185	1.591810967198971E-5
jac	108	9.292734294999398E-6
jad	23	1.9790082294906126E-6
baṭ	204	1.7552942557221086E-5
kkhī	465	4.00103837701363E-5
ūgo	50	4.302191803240463E-6
jaa	3	2.5813150819442774E-7
jab	71	6.1091123606014565E-6
vabh	30	2.5813150819442776E-6
cabh	51	4.3882356393052715E-6
mudh	3	2.5813150819442774E-7
jat	7055	6.070392634372293E-4
jas	399	3.433149058985889E-5
jav	345	2.968512344235919E-5
ūga	58	4.9905424917589364E-6
jau	12	1.032526032777711E-6
mekh	2	1.720876721296185E-7
jap	1079	9.284129911392918E-5
jar	1360	1.1701961704814058E-4
jal	689	5.928420304865357E-5
jak	1779	1.5307198435929567E-4
jan	9253	7.9616361510768E-4
jam	1187	1.0213403340892859E-4
jah	1305	1.1228720606457606E-4
jag	751	6.461892088467175E-5
jaj	37	3.183621934397942E-6
ūge	5	4.3021918032404626E-7
īāk	1	8.604383606480924E-8
ūho	36	3.097578098333133E-6
bhiṇ	93	8.002076754027261E-6
aogh	1	8.604383606480924E-8
jay	282	2.4264361770276208E-5
ūhu	8	6.88350688518474E-7
bhiṃ	92	7.91603291796245E-6
iñch	59	5.076586327823745E-6
bhiṅ	11	9.464821967129017E-7
ghe*	643	5.532618658967235E-5
ūha	356	3.0631605639072095E-5
iyū	46	3.958016458981225E-6
ūhi	1564	1.3457255960536165E-4
toḍ	3	2.5813150819442774E-7
ūhe	62	5.334717836018174E-6
īād	1	8.604383606480924E-8
kkhū	8570	7.373956750754152E-4
je*	193	1.6606460360508185E-5
cadh	15	1.2906575409721388E-6
tiṭ	2210	1.9015687770322843E-4
vadh	376	3.235248236036828E-5
ūdā	4	3.44175344259237E-7
beḷ	4	3.44175344259237E-7
ghep	21	1.8069205573609942E-6
ghes	3	2.5813150819442774E-7
ghem	1	8.604383606480924E-8
ghen	972	8.363460865499459E-5
gheh	9	7.743945245832833E-7
ghej	1	8.604383606480924E-8
vach	3	2.5813150819442774E-7
ūja	75	6.453287704860694E-6
ūṭo	13	1.1185698688425203E-6
ūje	254	2.185513436046155E-5
ghey	3	2.5813150819442774E-7
ūji	120	1.032526032777711E-5
ūṭe	79	6.79746304911993E-6
ābbh	37	3.183621934397942E-6
ghet	4	3.44175344259237E-7
gheu	1	8.604383606480924E-8
ghañ	128	1.1013611016295583E-5
vī*	1118	9.619700872045674E-5
jo*	761	6.547935924531984E-5
boḷ	1	8.604383606480924E-8
iabh	9	7.743945245832833E-7
robh	39	3.3557096065275607E-6
gha*	198	1.7036679540832233E-5
kkhā	6741	5.800214989128791E-4
jov	2	1.720876721296185E-7
vaph	8	6.88350688518474E-7
toḷ	3	2.5813150819442774E-7
joh	8	6.88350688518474E-7
dī*	1495	1.2863553491688983E-4
jog	6	5.162630163888555E-7
jjā	3084	2.653591904238717E-4
jok	30	2.5813150819442776E-6
joj	36	3.097578098333133E-6
jop	16	1.376701377036948E-6
jot	473	4.069873445865478E-5
jos	36	3.097578098333133E-6
jor	1	8.604383606480924E-8
ghav	56	4.818454819629318E-6
ghat	149	1.2820531573656579E-5
ghas	1233	1.0609204986790981E-4
ghar	1293	1.1125468003179836E-4
ghap	719	6.186551813059785E-5
ghay	1	8.604383606480924E-8
ṭhīs	26	2.2371397376850406E-6
ghag	76	6.539331540925503E-6
ghad	46	3.958016458981225E-6
ghac	95	8.174164426156879E-6
ṭhīv	1	8.604383606480924E-8
ṭhīt	15	1.2906575409721388E-6
ghan	136	1.1701961704814058E-5
ṭhīy	17	1.4627452131017572E-6
jjī	339	2.9168860425970337E-5
ghal	6	5.162630163888555E-7
gham	549	4.7238065999580276E-5
toṇ	3	2.5813150819442774E-7
ghaj	3	2.5813150819442774E-7
ghak	75	6.453287704860694E-6
tūs	292	2.51248001309243E-5
tūt	112	9.636909639258636E-6
ṭhīn	55	4.732410983564509E-6
